symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,reason
KRDMD,2025-03-05,2025-03-13,30.65999984741211,33.34000015258789,600,1608.0001831054688,8.741031697695815,Take Profit
KOZAL,2025-03-07,2025-03-13,25.979999542236328,26.700000762939453,749,539.2809143066406,2.7713673340625014,Rotation
GARAN,2025-03-03,2025-03-17,132.59725952148438,137.5154266357422,192,944.2880859375,3.7091016300083752,Rotation
ASELS,2025-03-11,2025-03-19,117.0,112.3000030517578,165,-775.4994964599646,-4.017091408754025,Stop Loss
SISE,2025-03-11,2025-03-19,38.92291641235352,36.882598876953125,422,-861.0139999389685,-5.24194413847374,Stop Loss
SAHOL,2025-03-13,2025-03-19,104.7237319946289,91.56094360351562,236,-3106.4180603027344,-12.569059696791914,Stop Loss
AKBNK,2025-03-13,2025-03-19,73.16776275634766,64.51087188720703,209,-1809.2901916503906,-11.831564261392696,Stop Loss
KOZAL,2025-03-17,2025-03-19,25.84000015258789,24.3799991607666,966,-1410.3609580993652,-5.650158603714517,Stop Loss
ASELS,2025-03-19,2025-03-21,112.3000030517578,110.5,162,-291.600494384762,-1.6028521841875545,Stop Loss
KRDMD,2025-03-19,2025-03-21,30.479999542236328,28.739999771118164,598,-1040.519863128662,-5.7086607521336585,Stop Loss
KOZAL,2025-03-20,2025-03-21,25.600000381469727,23.520000457763672,457,-950.559965133667,-8.124999580904847,Stop Loss
TUPRS,2025-03-20,2025-03-21,134.1314697265625,128.1763916015625,109,-649.103515625,-4.439732254585663,Stop Loss
ASELS,2025-03-21,2025-03-24,110.5,120.4000015258789,240,2376.0003662109375,8.959277398985435,Take Profit
ENKAI,2025-03-19,2025-03-26,56.4860954284668,61.83589172363281,403,2155.9679069519043,9.470996808304662,Take Profit
ASELS,2025-03-24,2025-03-26,120.4000015258789,116.0,227,-998.8003463745117,-3.6544862708603585,Stop Loss
ENKAI,2025-03-26,2025-04-02,61.83589172363281,58.510345458984375,371,-1233.7776641845703,-5.378019418740687,Stop Loss
KOZAL,2025-03-28,2025-04-02,28.959999084472656,27.940000534057617,958,-977.1586112976074,-3.5220945533866637,Stop Loss
ASELS,2025-03-26,2025-04-02,116.0,118.3000030517578,237,545.1007232665979,1.9827612515153425,Rotation
KOZAL,2025-04-02,2025-04-07,27.940000534057617,28.71999931335449,645,503.09921264648074,2.7916920701060315,Stop Loss
KOZAL,2025-04-07,2025-04-09,28.71999931335449,27.31999969482422,392,-548.7998504638654,-4.874650598892194,Stop Loss
ASELS,2025-04-02,2025-04-11,118.3000030517578,119.1999969482422,152,136.79907226563228,0.7607725048753075,Stop Loss
KOZAL,2025-04-09,2025-04-14,27.31999969482422,29.71999931335449,660,1583.9997482299768,8.78477176185675,Take Profit
KOZAL,2025-04-14,2025-04-16,29.71999931335449,28.3799991607666,625,-837.500095367428,-4.5087489352187315,Stop Loss
ENKAI,2025-04-02,2025-04-16,58.510345458984375,61.59180068969727,385,1186.3602638244665,5.2665134798648445,Rotation
ENKAI,2025-04-16,2025-04-17,61.59180068969727,60.44752502441406,375,-429.1033744812048,-1.857837654476338,Stop Loss
ASELS,2025-04-11,2025-04-18,119.1999969482422,129.89999389648438,155,1658.4995269775354,8.976507736731072,Take Profit
KOZAL,2025-04-16,2025-04-24,28.3799991607666,27.399999618530277,651,-637.979701995846,-3.4531345004093743,Stop Loss
ENKAI,2025-04-17,2025-04-25,60.44752502441406,60.69628143310547,385,95.7712173461914,0.4115245555395964,Stop Loss
ASELS,2025-04-18,2025-04-25,129.89999389648438,135.3000030517578,143,772.2013092041016,4.157051123171442,Rotation
KOZAL,2025-04-24,2025-04-28,27.399999618530277,26.21999931335449,692,-816.5602111816479,-4.306570516803118,Stop Loss
KOZAL,2025-04-28,2025-04-30,26.21999931335449,24.899999618530277,561,-740.5198287963831,-5.034323910725291,Stop Loss
ENKAI,2025-04-25,2025-05-02,60.69628143310547,62.3878173828125,306,517.6100006103516,2.7868856374196587,Stop Loss
ASELS,2025-04-25,2025-05-02,135.3000030517578,129.8000030517578,172,-946.0,-4.065040558717522,Stop Loss
ASELS,2025-05-02,2025-05-07,129.8000030517578,144.1999969482422,176,2534.39892578125,11.093985791928194,Take Profit
EREGL,2025-05-02,2025-05-07,23.22052574157715,22.428014755249023,986,-781.4158325195312,-3.4129760675879397,Stop Loss
ENKAI,2025-05-02,2025-05-08,62.3878173828125,61.98980712890625,367,-146.06976318359375,-0.637961497296906,Rotation
ASELS,2025-05-07,2025-05-09,144.1999969482422,149.1999969482422,129,645.0,3.4674064534097417,Stop Loss
ENKAI,2025-05-08,2025-05-09,61.98980712890625,67.711181640625,82,469.1527099609375,9.229540753081059,Take Profit
EREGL,2025-05-07,2025-05-12,22.428014755249023,24.29041290283203,648,1206.833999633789,8.303892109519568,Take Profit
ENKAI,2025-05-09,2025-05-12,67.711181640625,74.4773178100586,352,2381.679931640625,9.992642286682651,Take Profit
BIMAS,2025-05-07,2025-05-12,490.0,497.5,47,352.5,1.530612244897959,Rotation
TUPRS,2025-05-08,2025-05-14,128.1999969482422,135.3000030517578,277,1966.7016906738281,5.5382264216293935,Rotation
PETKM,2025-05-12,2025-05-16,17.889999389648438,17.93000030517578,1552,62.0814208984375,0.22359372214673856,Rotation
SISE,2025-05-12,2025-05-20,36.80412673950195,35.548553466796875,1016,-1275.6624450683594,-3.4115013286199467,Stop Loss
ASELS,2025-05-16,2025-05-20,138.60000610351562,132.3000030517578,145,-913.5004425048828,-4.545456547132151,Stop Loss
PETKM,2025-05-16,2025-05-21,17.93000030517578,17.200000762939453,512,-373.759765625,-4.071386111608721,Stop Loss
GARAN,2025-05-20,2025-05-21,112.0999984741211,111.1999969482422,222,-199.80033874511355,-0.8028559662172166,Stop Loss
YKBNK,2025-05-14,2025-05-21,25.6200008392334,26.600000381469727,1444,1415.1193389892578,3.8251346999786113,Rotation
ENKAI,2025-05-20,2025-05-23,63.830596923828125,61.89030456542969,312,-605.3712158203125,-3.039752801801108,Stop Loss
SISE,2025-05-20,2025-05-23,35.548553466796875,34.46953582763672,293,-316.1521682739258,-3.0353348700052796,Stop Loss
YKBNK,2025-05-21,2025-05-23,26.600000381469727,26.420000076293945,830,-149.40025329589844,-0.6766928668962512,Stop Loss
AKSEN,2025-05-21,2025-05-27,34.02000045776367,32.619998931884766,725,-1015.001106262207,-4.115230767315917,Stop Loss
ENKAI,2025-05-23,2025-05-27,61.89030456542969,61.2435417175293,314,-203.08353424072266,-1.045014808768053,Exit Signal
YKBNK,2025-05-23,2025-05-27,26.420000076293945,25.459999084472656,919,-882.2409114837646,-3.6336146443946298,Stop Loss
GARAN,2025-05-21,2025-05-27,111.1999969482422,110.4000015258789,221,-176.7989883422888,-0.7194203635955618,Rotation
MGROS,2025-05-28,2025-05-29,490.0,486.5,30,-105.0,-0.7142857142857143,Stop Loss
TCELL,2025-05-28,2025-05-29,94.07894134521484,93.54022216796876,132,-71.11093139648256,-0.5726246166709028,Stop Loss
TUPRS,2025-05-28,2025-05-29,126.0999984741211,126.0,77,-7.699882507324219,-0.07930093206275174,Stop Loss
EREGL,2025-05-23,2025-05-29,23.319589614868164,23.59696578979492,358,99.30067062377748,1.1894556444076638,Rotation
GARAN,2025-05-27,2025-05-30,110.4000015258789,105.9000015258789,135,-607.5,-4.076086900184647,Stop Loss
MGROS,2025-05-29,2025-05-30,486.5,477.0,30,-285.0,-1.9527235354573484,Exit Signal
EREGL,2025-05-29,2025-06-02,23.59696578979492,22.80445671081543,528,-418.44479370117006,-3.3585211168218443,Stop Loss
YKBNK,2025-05-27,2025-06-02,25.459999084472656,25.8799991607666,938,393.9600715637207,1.6496468633028807,Rotation
GARAN,2025-05-30,2025-06-04,105.9000015258789,115.6999969482422,221,2165.798988342289,9.254008764077744,Take Profit
BIMAS,2025-05-27,2025-06-04,479.75,515.5,31,1108.25,7.451797811360084,Rotation
YKBNK,2025-06-02,2025-06-10,25.8799991607666,28.479999542236328,356,925.6001358032227,10.046369651399598,Take Profit
TUPRS,2025-05-29,2025-06-10,126.0,131.10000610351562,118,601.8007202148438,4.047623891679067,Rotation
KCHOL,2025-05-30,2025-06-12,141.6999969482422,147.60000610351562,60,354.00054931640625,4.163732732773801,Stop Loss
AKSEN,2025-06-02,2025-06-12,32.36000061035156,32.70000076293945,458,155.7200698852539,1.0506803033839525,Stop Loss
TCELL,2025-06-02,2025-06-12,89.132568359375,93.73611450195312,138,635.2893676757812,5.164830574630157,Stop Loss
GARAN,2025-06-04,2025-06-12,115.6999969482422,119.0,113,372.900344848631,2.8522066886778186,Stop Loss
ULKER,2025-06-10,2025-06-12,106.430908203125,101.9885711669922,62,-275.42489624023347,-4.1739163097758505,Stop Loss
AKBNK,2025-06-04,2025-06-12,56.20000076293945,59.20000076293945,233,699.0,5.338078219348212,Rotation
EREGL,2025-06-05,2025-06-16,23.319589614868164,25.657489776611328,560,1309.2240905761719,10.025477293359227,Take Profit
ASELS,2025-06-12,2025-06-16,144.6999969482422,138.89999389648438,263,-1525.4008026123047,-4.008295213601434,Stop Loss
SAHOL,2025-06-10,2025-06-16,82.25,82.75,261,130.5,0.60790273556231,Rotation
GARAN,2025-06-12,2025-06-17,119.0,115.0999984741211,213,-830.700325012207,-3.2773122066209295,Stop Loss
YKBNK,2025-06-12,2025-06-19,27.65999984741211,26.420000076293945,250,-309.999942779541,-4.483007150971403,Stop Loss
TUPRS,2025-06-16,2025-06-19,129.8000030517578,143.8000030517578,193,2702.0,10.785824091558375,Take Profit
TCELL,2025-06-16,2025-06-19,90.74871063232422,86.78181457519531,173,-686.2730178833008,-4.371297431652895,Stop Loss
AKSEN,2025-06-17,2025-06-19,33.29999923706055,31.8799991607666,395,-560.9000301361084,-4.2642645910741805,Stop Loss
AKBNK,2025-06-19,2025-06-20,57.150001525878906,57.20000076293945,207,10.349842071533203,0.08748772655396345,Stop Loss
KCHOL,2025-06-17,2025-06-20,146.6999969482422,146.0,107,-74.89967346191406,-0.4771622105003562,Rotation
TUPRS,2025-06-19,2025-06-24,143.8000030517578,137.3000030517578,174,-1131.0,-4.520166802542042,Stop Loss
EREGL,2025-06-16,2025-06-24,25.657489776611328,25.756553649902344,612,60.62709045410156,0.3861011897637764,Rotation
TUPRS,2025-06-24,2025-06-25,137.3000030517578,134.39999389648438,103,-298.70094299316406,-2.112169767527408,Exit Signal
THYAO,2025-06-24,2025-06-26,274.5,265.25,92,-851.0,-3.3697632058287796,Stop Loss
ISCTR,2025-06-17,2025-06-26,11.390000343322754,11.68000030517578,1007,292.0299615859967,2.5460926524294125,Rotation
AKBNK,2025-06-20,2025-06-27,57.20000076293945,62.0,278,1334.399787902832,8.391606945870047,Take Profit
KCHOL,2025-06-26,2025-06-30,141.6999969482422,154.0,109,1340.7003326416016,8.680312855793886,Take Profit
YKBNK,2025-06-26,2025-06-30,27.739999771118164,31.700000762939453,320,1267.2003173828125,14.275418257012,Take Profit
ISCTR,2025-06-27,2025-06-30,12.149999618530272,13.350000381469728,1090,1308.0008316040075,9.876549799304561,Take Profit
ASELS,2025-06-19,2025-06-30,144.10000610351562,150.8000030517578,174,1165.7994689941406,4.649546609615811,Rotation
AKSEN,2025-06-20,2025-06-30,32.2599983215332,33.34000015258789,359,387.7206573486328,3.347804982165166,End of Test
EREGL,2025-06-25,2025-06-30,25.558425903320312,26.41037368774414,517,440.45700454711914,3.333334328359991,End of Test
ULKER,2025-06-26,2025-06-30,99.6999969482422,105.5999984741211,129,761.1001968383771,5.917754971388607,End of Test
MGROS,2025-06-30,2025-06-30,494.75,494.75,81,0.0,0.0,End of Test
SISE,2025-06-30,2025-06-30,36.040000915527344,36.040000915527344,846,0.0,0.0,End of Test
