symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,reason
SISE,2025-03-06,2025-03-12,38.47169494628906,39.66841506958008,982,1175.1791610717773,3.110650895318689,Partial TP
TUPRS,2025-03-06,2025-03-12,130.06689453125,135.8329315185547,29,167.21507263183594,4.4331318957717825,Partial TP
KCHOL,2025-03-10,2025-03-12,163.0887451171875,172.8339385986328,27905,271939.62409973145,5.975393013443631,Partial TP
YKBNK,2025-03-11,2025-03-12,31.559999465942383,33.060001373291016,74159,111238.64144706726,4.752857835017846,Partial TP
KCHOL,2025-03-10,2025-03-13,163.0887451171875,175.70018005371094,27905,351922.0919036865,7.732866500052768,Partial TP
YKBNK,2025-03-11,2025-03-13,31.559999465942383,33.2599983215332,74159,126070.21513175964,5.386561737510024,Partial TP
KRDMD,2025-03-11,2025-03-13,32.0,33.34000015258789,7314,9800.761116027832,4.187500476837158,Partial TP
SISE,2025-03-06,2025-03-13,38.47169494628906,39.33489990234375,2947,2543.865005493164,2.24374038435224,Stop Loss
KOZAL,2025-03-07,2025-03-14,25.979999542236328,27.57999992370605,8570,13712.003269195528,6.158585102623127,Partial TP
ISCTR,2025-03-11,2025-03-14,15.520591735839844,16.07243537902832,510540,281738.2535934448,3.5555580133853413,Partial TP
TUPRS,2025-03-06,2025-03-17,130.06689453125,138.10154724121094,29,233.0049285888672,6.177323398791938,Partial TP
KOZAL,2025-03-07,2025-03-17,25.979999542236328,25.84000015258789,25713,-3599.8043060302734,-0.5388737186882433,Stop Loss
KRDMD,2025-03-11,2025-03-18,32.0,33.86000061035156,7314,13604.044464111328,5.812501907348633,Partial TP
AKBNK,2025-03-03,2025-03-18,71.40703582763672,71.65158081054688,154478,37776.81986999512,0.34246622909882757,Stop Loss
ISCTR,2025-03-11,2025-03-18,15.520591735839844,15.973891258239746,1531623,694283.9743967056,2.9206329894829466,Stop Loss
YKBNK,2025-03-11,2025-03-18,31.559999465942383,33.0,148318,213577.99921035767,4.562739411993899,Stop Loss
GARAN,2025-03-13,2025-03-18,138.28688049316406,134.2366485595703,196531,-795996.1321411133,-2.928862028812607,Stop Loss
ASELS,2025-02-27,2025-03-19,90.0,112.3000030517578,1,22.3000030517578,24.777781168619775,Stop Loss
SAHOL,2025-03-05,2025-03-19,103.08441162109376,91.56094360351562,180739,-2082740.0860290565,-11.178671766527446,Stop Loss
TUPRS,2025-03-06,2025-03-19,130.06689453125,130.2559356689453,58,10.964385986328125,0.14534147092278987,Stop Loss
KCHOL,2025-03-10,2025-03-19,163.0887451171875,158.3116912841797,55813,-266621.70558166504,-2.929113121555542,Stop Loss
KRDMD,2025-03-11,2025-03-19,32.0,30.479999542236328,14628,-22234.566696166992,-4.750001430511475,Stop Loss
SISE,2025-03-13,2025-03-19,39.33489990234375,36.882598876953125,69094,-169439.28704833984,-6.234415319420975,Stop Loss
EREGL,2025-03-13,2025-03-19,25.18198585510254,22.883708953857425,10794,-24807.600872039766,-9.12667060679578,Stop Loss
GARAN,2025-03-18,2025-03-19,134.2366485595703,120.832275390625,358359,-4803577.764450073,-9.985628599031093,Stop Loss
AKBNK,2025-03-18,2025-03-19,71.65158081054688,64.51087188720703,672165,-4799734.613456726,-9.96587771345968,Stop Loss
ISCTR,2025-03-18,2025-03-19,15.973891258239746,14.377488136291504,3078370,-4914319.47851181,-9.993827403355937,Stop Loss
KRDMD,2025-03-19,2025-03-20,30.479999542236328,31.920000076293945,565437,814229.5819759369,4.724411271929973,Partial TP
ASELS,2025-03-19,2025-03-20,112.3000030517578,117.5,151905,789905.5364227332,4.630451297357127,Partial TP
ENKAI,2025-03-19,2025-03-20,56.4860954284668,58.654930114746094,315890,685113.1890487671,3.8395903803014297,Partial TP
KRDMD,2025-03-19,2025-03-21,30.479999542236328,28.739999771118164,1696312,-2951582.491744995,-5.7086607521336585,Stop Loss
ASELS,2025-03-19,2025-03-21,112.3000030517578,110.5,455716,-820290.1907348558,-1.6028521841875598,Stop Loss
ENKAI,2025-03-19,2025-03-21,56.4860954284668,57.30543899536133,947671,776468.1373825073,1.4505225767147183,Stop Loss
ASELS,2025-03-21,2025-03-24,110.5,120.4000015258789,248787,2462991.6796188354,8.959277398985435,Partial TP
ASELS,2025-03-21,2025-03-25,110.5,117.5,248787,1741509.0,6.334841628959276,Partial TP
ENKAI,2025-03-21,2025-03-25,57.30543899536133,59.47427368164063,511258,1108834.0840377845,3.784692560255692,Partial TP
ENKAI,2025-03-21,2025-03-26,57.30543899536133,61.83589172363281,511258,2316230.2009506226,7.905798834624073,Partial TP
