datetime,open,high,low,close,volume,symbol
2025-04-25 16:30:00+03:00,319.0,319.5,318.25,318.75,1243357,THYAO
2025-04-25 17:30:00+03:00,318.75,319.75,318.0,318.25,2700883,THYAO
2025-04-28 09:30:00+03:00,318.0,318.75,315.5,316.0,0,THYAO
2025-04-28 10:30:00+03:00,316.0,316.75,315.5,316.25,1326457,THYAO
2025-04-28 11:30:00+03:00,316.25,316.5,315.5,315.75,1045618,THYAO
2025-04-28 12:30:00+03:00,316.0,316.25,314.25,314.25,1155421,THYAO
2025-04-28 13:30:00+03:00,314.25,315.25,313.75,314.75,1597871,THYAO
2025-04-28 14:30:00+03:00,314.75,315.5,314.25,315.25,1098218,THYAO
2025-04-28 15:30:00+03:00,315.25,315.25,314.0,314.5,1281602,THYAO
2025-04-28 16:30:00+03:00,314.25,315.0,314.0,314.75,1599191,THYAO
2025-04-28 17:30:00+03:00,314.75,315.25,313.5,313.75,2477620,THYAO
2025-04-29 09:30:00+03:00,305.5,306.25,304.0,304.5,0,THYAO
2025-04-29 10:30:00+03:00,304.5,305.25,303.25,303.75,2616264,THYAO
2025-04-29 11:30:00+03:00,303.75,303.75,301.75,302.5,3040258,THYAO
2025-04-29 12:30:00+03:00,302.5,303.0,301.75,302.25,1106753,THYAO
2025-04-29 13:30:00+03:00,302.25,302.25,301.25,301.75,1090492,THYAO
2025-04-29 14:30:00+03:00,301.75,302.0,300.5,301.25,1490753,THYAO
2025-04-29 15:30:00+03:00,301.25,301.25,299.25,299.75,4139650,THYAO
2025-04-29 16:30:00+03:00,299.75,300.75,297.75,298.25,4380574,THYAO
2025-04-29 17:30:00+03:00,298.0,299.25,297.75,298.25,3512370,THYAO
2025-04-30 09:30:00+03:00,298.75,300.25,294.75,294.75,0,THYAO
2025-04-30 10:30:00+03:00,295.0,295.25,293.25,293.5,2590936,THYAO
2025-04-30 11:30:00+03:00,293.5,294.0,291.5,292.25,3249708,THYAO
2025-04-30 12:30:00+03:00,292.25,292.5,289.75,290.5,2688664,THYAO
2025-04-30 13:30:00+03:00,290.5,290.75,288.0,289.25,3075625,THYAO
2025-04-30 14:30:00+03:00,289.5,290.5,287.75,288.5,3468771,THYAO
2025-04-30 15:30:00+03:00,288.5,288.5,287.0,287.5,2571638,THYAO
2025-04-30 16:30:00+03:00,287.5,287.5,284.0,285.75,7245517,THYAO
2025-04-30 17:30:00+03:00,285.5,285.75,283.25,284.0,3310418,THYAO
2025-05-02 09:30:00+03:00,285.5,288.5,285.5,287.25,0,THYAO
2025-05-02 10:30:00+03:00,287.25,288.0,286.5,287.5,1774210,THYAO
2025-05-02 11:30:00+03:00,287.5,292.0,287.25,291.75,3475349,THYAO
2025-05-02 12:30:00+03:00,292.0,293.75,291.0,292.75,2333835,THYAO
2025-05-02 13:30:00+03:00,292.75,293.0,291.75,292.25,1200653,THYAO
2025-05-02 14:30:00+03:00,292.25,295.0,292.0,293.5,3179279,THYAO
2025-05-02 15:30:00+03:00,293.5,294.0,293.0,293.75,1202059,THYAO
2025-05-02 16:30:00+03:00,293.75,293.75,291.75,291.75,1185136,THYAO
2025-05-02 17:30:00+03:00,291.75,292.75,291.0,292.5,1701824,THYAO
2025-05-05 09:30:00+03:00,295.0,296.5,292.5,292.75,0,THYAO
2025-05-05 10:30:00+03:00,293.0,293.0,287.5,288.25,3461048,THYAO
2025-05-05 11:30:00+03:00,288.25,289.5,287.0,289.0,1475867,THYAO
2025-05-05 12:30:00+03:00,288.75,289.5,287.5,288.0,1023603,THYAO
2025-05-05 13:30:00+03:00,287.75,294.0,287.5,294.0,2112099,THYAO
2025-05-05 14:30:00+03:00,293.75,294.0,292.25,293.25,1905933,THYAO
2025-05-05 15:30:00+03:00,293.25,294.25,292.5,293.25,1654882,THYAO
2025-05-05 16:30:00+03:00,293.5,295.0,293.0,293.75,2428976,THYAO
2025-05-05 17:30:00+03:00,294.0,295.0,293.5,293.75,1599844,THYAO
2025-05-06 09:30:00+03:00,294.25,295.5,291.25,295.25,0,THYAO
2025-05-06 10:30:00+03:00,295.25,296.25,293.5,293.5,3614924,THYAO
2025-05-06 11:30:00+03:00,293.5,294.5,293.0,294.0,1197065,THYAO
2025-05-06 12:30:00+03:00,294.0,294.0,293.5,294.0,431250,THYAO
2025-05-06 13:30:00+03:00,293.75,295.25,293.75,294.5,1499172,THYAO
2025-05-06 14:30:00+03:00,294.5,294.75,291.75,292.25,1694599,THYAO
2025-05-06 15:30:00+03:00,292.25,293.25,292.25,292.75,596402,THYAO
2025-05-06 16:30:00+03:00,292.5,293.0,291.25,292.5,1224363,THYAO
2025-05-06 17:30:00+03:00,292.5,292.75,292.0,292.25,1025996,THYAO
2025-05-07 09:30:00+03:00,290.5,291.0,288.5,290.25,0,THYAO
2025-05-07 10:30:00+03:00,290.0,290.75,289.0,289.25,1643237,THYAO
2025-05-07 11:30:00+03:00,289.25,290.25,289.0,289.5,1196386,THYAO
2025-05-07 12:30:00+03:00,289.5,289.5,288.25,288.75,912977,THYAO
2025-05-07 13:30:00+03:00,289.0,289.5,288.75,289.0,911645,THYAO
